Latitude,Longitude,Year,Month,Ocean,Sample_Method,Concentration_pieces_m3,Risk_Label
35.9849,-139.9826,2009,8,Pacific Ocean,Manta net,1.894,High
33.77235,-132.7587,2015,9,Pacific Ocean,Manta net,0.605422,High
31.697,-129.0366,2014,9,Pacific Ocean,Grab sample,0.013,Low
24.24,-83.02,2004,1,Atlantic Ocean,Neuston net,0.001348,Low
25.18,-75.02,1992,4,Atlantic Ocean,Neuston net,0.00864,Low
25.97,-59.72,1994,10,Atlantic Ocean,Neuston net,0.0,Low
24.3,-59.51,2007,4,Atlantic Ocean,Neuston net,0.075988,Low
22.15,-69.15,2000,2,Atlantic Ocean,Neuston net,0.00864,Low
26.14,-73.19,2000,5,Atlantic Ocean,Neuston net,0.0,Low
30.017632,-135.489,2015,8,Pacific Ocean,Manta net,19.124298,High
24.52,-148.47,2009,10,Pacific Ocean,Neuston net,0.0,Low
25.28,-147.0,2009,5,Pacific Ocean,Neuston net,2.712124,High
26.05,-141.2,2004,10,Pacific Ocean,Neuston net,0.00216,Low
28.42,-80.09,1996,5,Atlantic Ocean,Neuston net,0.00648,Low
27.8096,-82.446,2017,4,Atlantic Ocean,Van Dorn sampler,0.0,Low
17.78,-68.15,1997,3,Atlantic Ocean,Neuston net,0.0,Low
15.66,-60.77,2008,11,Atlantic Ocean,Neuston net,0.0,Low
19.7,-59.35,1992,11,Atlantic Ocean,Neuston net,0.00432,Low
10.760339,-61.441728,2015,10,Atlantic Ocean,Hand picking,0.666667,High
18.1069,-36.717,2014,12,Atlantic Ocean,Grab sample,0.003,Low
18.2258,-45.857,2014,12,Atlantic Ocean,Grab sample,0.049,Low
-26.46396,-105.36589,2015,11,Pacific Ocean,Neuston net,0.056245,Low
-31.3878,-93.3457,2011,4,Pacific Ocean,Neuston net,0.102203,High
-11.71,-141.93,2002,2,Pacific Ocean,Neuston net,0.001384,Low
3.01,-88.1,2001,12,Pacific Ocean,Neuston net,0.0,Low
19.8,-143.03,2008,10,Pacific Ocean,Neuston net,0.0,Low
18.43,-76.23,2006,4,Atlantic Ocean,Neuston net,0.0,Low
33.1,-149.63,2004,12,Pacific Ocean,Neuston net,0.00216,Low
35.0936,34.3911,2014,8,Atlantic Ocean,Manta net,0.028537,Low
15.94,-162.49,2008,6,Pacific Ocean,Neuston net,0.0,Low
57.535333,-6.815,2022,1,Atlantic Ocean,Neuston net,0.096683,High
56.3339,-6.383,2016,5,Atlantic Ocean,Grab sample,0.0,Low
54.636833,-4.444,2016,1,Atlantic Ocean,Neuston net,0.066703,Low
66.883333,-9.15,2017,9,Arctic Ocean,Manta net,0.041683,Low
